label,statement,target,clean_text
false,On bipartisan redistricting.,false,bipartisan redistricting
mostly-true,"Spending increases, not tax cuts, are the major cause of the federal budget deficit.",mostly-true,spending increases tax cuts major cause federal budget deficit
pants-fire,"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are willing to jeopardize seniors access to coverage by gutting $741 billion from Medicare to pay for a big-government healthcare takeover.",pants-fire,says reps rush holt frank pallone bill pascrell willing jeopardize seniors access coverage gutting billion medicare pay biggovernment healthcare takeover
true,"Says Keene, N.H., requested a military-grade armored personnel truck, citing their annual Pumpkin Festival as a possible target for terrorists.",true,says keene nh requested militarygrade armored personnel truck citing annual pumpkin festival possible target terrorists
true,President Barack Obama had the legal authority to strike Syria without a vote from Congress.,true,president barack obama legal authority strike syria without vote congress
half-true,On the importance of judicial experience for Supreme Court nominees.,half-true,importance judicial experience supreme court nominees
barely-true,"Horse racing could boost Georgias economy by $1 billion a year and create 10,000 to 20,000 jobs.",barely-true,horse racing could boost georgias economy billion year create jobs
barely-true,Russ Feingold voted against the law that protected our lakes and was the only Great Lakes senator to vote no.,barely-true,russ feingold voted law protected lakes great lakes senator vote
false,Says the new Dodd-Frank financial law requires a 20 percent down payment to buy a house.,false,says new doddfrank financial law requires percent payment buy house
false,"I have a perfect voting record from organizations like the Veterans of Foreign Wars, the American Legion and all the other veterans service organizations.",false,perfect voting record organizations like veterans foreign wars american legion veterans service organizations
false,Barack Obama has consistently voted against tougher penalties for criminals.,false,barack obama consistently voted tougher penalties criminals
pants-fire,"For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.",pants-fire,amount money hillary clinton would like spend refugees could rebuild every inner city america
mostly-true,"In the history of the United States, 168 presidential nominees have been filibustered, 82 blocked under President Obama, 86 blocked under all the other presidents.",mostly-true,history united states presidential nominees filibustered blocked president obama blocked presidents
mostly-true,Says Jeff Stone = Scott Walker.,mostly-true,says jeff stone scott walker
mostly-true,"Palin ""inherited a city with zero debt, but left it with indebtedness of over $22-million.""",mostly-true,palin inherited city zero debt left indebtedness million
true,Florida is one of only three states that require licenses for commercial interior designers.,true,florida one three states require licenses commercial interior designers
barely-true,"After hiring a campaign manager in 2006, I got this $100 and something fee ... for hazardous materials.",barely-true,hiring campaign manager got something fee hazardous materials
barely-true,"In 2009, pre-Hillary, ISIS was not even on the map.",barely-true,prehillary isis even map
mostly-true,Obamacare is not a popular law.,mostly-true,obamacare popular law
false,"Nobody has been talking about it (Medicaid fraud), focused on it, or paying attention to it.",false,nobody talking medicaid fraud focused paying attention
false,"Rick Scott has destroyed over 100,000 jobs.",false,rick scott destroyed jobs
true,"For every week that (state lawmakers are) able to cut off our timeline, it saves (Georgia taxpayers) approximately $100,000.",true,every week state lawmakers able cut timeline saves georgia taxpayers approximately
true,"Grateful insurance company executives and their lobbyists from Bermuda gave McCain $50,000.",true,grateful insurance company executives lobbyists bermuda gave mccain
half-true,90 percent of fires in Arizona are human-caused.,half-true,percent fires arizona humancaused
mostly-true,Today 46 percent of all Floridians owe more on their home than it is worth.,mostly-true,today percent floridians owe home worth
mostly-true,"Says that when President Obama visited El Paso, he pronounced that the border with Mexico and the United States was safer than it ever was in history.",mostly-true,says president obama visited el paso pronounced border mexico united states safer ever history
false,"Says Texas gained 21,000 doctors due to tort reform.",false,says texas gained doctors due tort reform
pants-fire,"Technically, (Ted Cruz is) not even an American.",pants-fire,technically ted cruz even american
true,Most private sector jobs in the history of Buffalo exist in Buffalo today,true,private sector jobs history buffalo exist buffalo today
barely-true,"Rubio's ""got more experience than Obama had.""",barely-true,rubios got experience obama
mostly-true,More than 125 jobs have been created at the Milwaukee Job Corps Center.,mostly-true,jobs created milwaukee job corps center
mostly-true,Says a university survey concluded his Massachusetts administration had more women in senior leadership positions than any other state in America.,mostly-true,says university survey concluded massachusetts administration women senior leadership positions state america
mostly-true,The Ohio Democratic Party has raised $1.1 million since the November election. A very small percentage of that has come from organized labor.,mostly-true,ohio democratic party raised million since november election small percentage come organized labor
half-true,Says a careless attitude and poor oversight by the Texas Department of Agriculture led to deaths and illnesses traced to a Texas peanut plant.,half-true,says careless attitude poor oversight texas department agriculture led deaths illnesses traced texas peanut plant
mostly-true,TheU.S. economyis three times asbig as Chinas.,mostly-true,theus economyis three times asbig chinas
mostly-true,Providence graduation rates are up.,mostly-true,providence graduation rates
true,Says Alex Jones said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there.,true,says alex jones said victims sandy hook massacre child actors one actually killed
barely-true,"Says no, youre wrong, responding to the assertion that stop-and-frisk was ruled unconstitutional in New York.",barely-true,says youre wrong responding assertion stopandfrisk ruled unconstitutional new york
false,The majority of revenue generated by a proposed Kenosha casino would be sent to the Seminole tribe in Florida.,false,majority revenue generated proposed kenosha casino would sent seminole tribe florida
half-true,I've got the most international experience here.,half-true,ive got international experience
pants-fire,Says Gov. Rick Scott cut more government jobs than were created in the private sector in Florida in 2012.,pants-fire,says gov rick scott cut government jobs created private sector florida
mostly-true,"Florida doesnt regulate assault weapons or .50 caliber rifles or large-capacity ammunition magazines. It doesnt require a permit to purchase a gun. It doesnt require any registration, whatsoever.",mostly-true,florida doesnt regulate assault weapons caliber rifles largecapacity ammunition magazines doesnt require permit purchase gun doesnt require registration whatsoever
true,"Texas is home to millions of Latinas, but the state has never elected a Latina to Congress.",true,texas home millions latinas state never elected latina congress
barely-true,"Studies suggest the 2017 College Football Playoff Championship game will bring about 1,700 to 1,800 full-time jobs.",barely-true,studies suggest college football playoff championship game bring fulltime jobs
false,Says that he did not exactly say that communities have the right to ban mosques.,false,says exactly say communities right ban mosques
barely-true,"Faced with $1 million in campaign debt, Scott Walker is unloading his campaign security costs onto the backs of Wisconsin taxpayers.",barely-true,faced million campaign debt scott walker unloading campaign security costs onto backs wisconsin taxpayers
false,"George Allen had 40,000 earmarks while he was a senator.",false,george allen earmarks senator
mostly-true,We are amassing most of our military strength in a country where fewer than 100 members of al Qaeda remain.,mostly-true,amassing military strength country fewer members al qaeda remain
true,He won't even support his colleague's ... motion to censure the Bush administration for systemic repeated illegal wiretaps.,true,wont even support colleagues motion censure bush administration systemic repeated illegal wiretaps
half-true,Says Romney said we should ask Pakistan for permission to take a shot at Osama bin Laden.,half-true,says romney said ask pakistan permission take shot osama bin laden
mostly-true,More than 1 million Texans live without affordable health care because Rick Perry failed to partner with the Legislature to find a Texas solution to closing the coverage gap.,mostly-true,million texans live without affordable health care rick perry failed partner legislature find texas solution closing coverage gap
true,There are actually half a million fewer government employees now than there were when (President Barack) Obama took office.,true,actually half million fewer government employees president barack obama took office
false,The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.,false,clean power plan something sen sanders said would delay implementing
mostly-true,Says Marco Rubio has the worst voting record there is today.,mostly-true,says marco rubio worst voting record today
mostly-true,Millions of dollars are spent by Planned Parenthood to elect Democrats to the House of Representatives and the Senate.,mostly-true,millions dollars spent planned parenthood elect democrats house representatives senate
half-true,The biggest job of the surgeon general is to translate health care and health care needs into plain English.,half-true,biggest job surgeon general translate health care health care needs plain english
false,"Says Barack Obama is a hypocrite for criticizing President George W. Bushs drone attack program, then using it aggressively as president.",false,says barack obama hypocrite criticizing president george w bushs drone attack program using aggressively president
mostly-true,Says Measure 11 is one of the most significant reasons for decrease in violent crime.,mostly-true,says measure one significant reasons decrease violent crime
barely-true,"Says 160,000 kids stay home every day because they are afraid to go to school because of bullying.",barely-true,says kids stay home every day afraid go school bullying
barely-true,We reduced abortion. We increased adoptions by 135 percent.,barely-true,reduced abortion increased adoptions percent
mostly-true,"Wisconsin pays criminal defense lawyers who represent the indigent $40 per hour, the lowest in the country.",mostly-true,wisconsin pays criminal defense lawyers represent indigent per hour lowest country
mostly-true,House Bill 2301 never had a public hearing,mostly-true,house bill never public hearing
true,The proposed transportation tax plan revokes a tax-credit for consumers electric cars while the state retains similar credits for similar vehicles for businesses.,true,proposed transportation tax plan revokes taxcredit consumers electric cars state retains similar credits similar vehicles businesses
pants-fire,Theres no plan from Senate Democrats or the White House to replace the sequester.,pants-fire,theres plan senate democrats white house replace sequester
half-true,Says U.S. Senate rival Tommy Thompson said he wants to do away with Medicare.,half-true,says us senate rival tommy thompson said wants away medicare
half-true,The nation as a whole has created jobs at a rate that is two times the rate that we have created jobs here in Wisconsin under Gov. Walker.,half-true,nation whole created jobs rate two times rate created jobs wisconsin gov walker
false,"I differed with my party on business legislation, on consumer protection, and on free trade agreements.",false,differed party business legislation consumer protection free trade agreements
barely-true,We will have the highest general revenue in state history next year. Conservative pro-growth policies work in our state.,barely-true,highest general revenue state history next year conservative progrowth policies work state
mostly-true,Comic strip says government study shows Head Start has little or no impact on the children its supposed to help.,mostly-true,comic strip says government study shows head start little impact children supposed help
pants-fire,"In 2013, Dan Patrick voted against funding to test the backlog of rape kits, allowing rapists to walk free.",pants-fire,dan patrick voted funding test backlog rape kits allowing rapists walk free
mostly-true,A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.,mostly-true,majority candidates stage supported amnesty never supported amnesty
mostly-true,Says Pope Francis took the name of a saint who basically reached out to Muslims.,mostly-true,says pope francis took name saint basically reached muslims
true,"The claim ... that we plan to set up panels of bureaucrats with the power to kill off senior citizens ... is a lie, plain and simple.",true,claim plan set panels bureaucrats power kill senior citizens lie plain simple
false,One-third of the gasoline is purchased by out-of-state people in Virginia,false,onethird gasoline purchased outofstate people virginia
half-true,"Obamacare is a massive, massive income redistribution with $250 billion a year in Medicaid expansion (and) in the subsidy structure thats basically being paid for by people on Medicare, through Medicare cuts, and a lot of tax increases.",half-true,obamacare massive massive income redistribution billion year medicaid expansion subsidy structure thats basically paid people medicare medicare cuts lot tax increases
true,The federal tax code has loopholes that are giving incentives for companies that are shipping jobs overseas.,true,federal tax code loopholes giving incentives companies shipping jobs overseas
true,"The Republican from Georgia [U.S. Rep. Jack Kingston], he hasnt even been to a NASCAR race.",true,republican georgia us rep jack kingston hasnt even nascar race
pants-fire,Says Kurt Schrader supports Obamas sequester but wont cut $1.6 million to fund new video games.,pants-fire,says kurt schrader supports obamas sequester wont cut million fund new video games
false,"In the last year, Wisconsin ranked third in Midwest job growth.",false,last year wisconsin ranked third midwest job growth
mostly-true,"The typical Wisconsin worker makes $5,000 less each year than our neighbors in Minnesota under Gov. Scott Walkers policies.",mostly-true,typical wisconsin worker makes less year neighbors minnesota gov scott walkers policies
true,"FIFA pressured Brazil into passing a so-called Budweiser bill, allowing beer sales in soccer stadiums.",true,fifa pressured brazil passing socalled budweiser bill allowing beer sales soccer stadiums
barely-true,Leticia Van de Putte voted to stop schools from removing teachers convicted of a felony.,barely-true,leticia van de putte voted stop schools removing teachers convicted felony
half-true,"Having an entirely Democrat congressional delegation in 2009, when the [federal stimulus] bill passed, increases the per capita stimulus dollars that the state receives per person by $460.",half-true,entirely democrat congressional delegation federal stimulus bill passed increases per capita stimulus dollars state receives per person
mostly-true,Says a state bill checks the spending habits of the Milwaukee County Board of Supervisors by bringing it in line with other county boards around the state.,mostly-true,says state bill checks spending habits milwaukee county board supervisors bringing line county boards around state
pants-fire,Recently Rick Scott closed 30 womens health care centers across the state.,pants-fire,recently rick scott closed womens health care centers across state
half-true,The income tax that started at 2 percent under Governor Byrne is now 9 percent.,half-true,income tax started percent governor byrne percent
barely-true,Says federal health care overhaul will cost Texas state government upwards of $30 billion over the next 10 years.,barely-true,says federal health care overhaul cost texas state government upwards billion next years
false,"Says President Barack Obama has put (up) a stop sign against oil drilling, against any kind of exploration offshore or in Alaska.",false,says president barack obama put stop sign oil drilling kind exploration offshore alaska
barely-true,"Ive created over 40,000 jobs.",barely-true,ive created jobs
mostly-true,Passing a federal firearms background check through the NICS database . . . typically takes 90 seconds.,mostly-true,passing federal firearms background check nics database typically takes seconds
barely-true,The debt-ceiling bill doesnt cut the debt. It will add about $7 trillion in new debt over the next 10 years.,barely-true,debtceiling bill doesnt cut debt add trillion new debt next years
barely-true,"Says Hillary Clinton has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000-page Obamatrade the Trans-Pacific Partnership agreement.",barely-true,says hillary clinton champion globalist trade agreements worst pushing disastrous page obamatrade transpacific partnership agreement
true,Says Jeb Bush flip-flop-flip(ped) on immigration.,true,says jeb bush flipflopflipped immigration
pants-fire,"Ganley said that if elected, he wants to cut the dickens out of Social Security, Medicare and Veterans benefits.",pants-fire,ganley said elected wants cut dickens social security medicare veterans benefits
half-true,"Says Marco Rubio opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families.",half-true,says marco rubio opposes immigration reform worse rubio supports donald trump plan would deport children destroying families
true,"Since 1980, over 145 incidents have been documented of suction entrapment in swimming pools and spas, including 36 deaths of children.",true,since incidents documented suction entrapment swimming pools spas including deaths children
half-true,The RESTORE Act started as an effort to dedicate as much BP fine money as possible towards Gulf Coast restoration but now could steer money to places like the Great Lakes and West Coast.,half-true,restore act started effort dedicate much bp fine money possible towards gulf coast restoration could steer money places like great lakes west coast
half-true,"Countries with a higher minimum wage than the United States $7.25 an hour include Denmark at $21, Australia at$15.81, Germany at$11and France at$12.35.",half-true,countries higher minimum wage united states hour include denmark australia germany atand france
half-true,Joe Morrissey has been a delegate in the General Assembly for eight years with no laws passed to help our black community with education or workforce.,half-true,joe morrissey delegate general assembly eight years laws passed help black community education workforce
mostly-true,Georgia lawmakers balanced the budget without raising taxes on residents.,mostly-true,georgia lawmakers balanced budget without raising taxes residents
barely-true,Defends his vote to push retirement age to 70 by saying he is for a process that would not be fully implemented until around the turn of the century.,barely-true,defends vote push retirement age saying process would fully implemented around turn century
pants-fire,President Obama . . . wants to mandate circumcision.,pants-fire,president obama wants mandate circumcision
barely-true,"The president has given 1,100 special waivers to his friends for Obamacare.",barely-true,president given special waivers friends obamacare
false,"Says that three of these five Republicans -- Ben Westlund, Rob Patridge, Max Williams, Lane Shetterly, Lynn Lundquist -- later became Democrats.",false,says three five republicans ben westlund rob patridge max williams lane shetterly lynn lundquist later became democrats
false,The crime decline in the United States would be fairly small if it wasn't for the crime decline in New York City.,false,crime decline united states would fairly small wasnt crime decline new york city
mostly-true,"Proposed cuts in the House farm bill mean 2 million less people on food stamps, 210,000 children will not receive school lunches or breakfasts.",mostly-true,proposed cuts house farm bill mean million less people food stamps children receive school lunches breakfasts
true,"If it is enacted, the Senate immigration bill is going to make the Border Patrol bigger than the FBI -- you could put one agent every 250 feet.",true,enacted senate immigration bill going make border patrol bigger fbi could put one agent every feet
pants-fire,Rick Scott doesnt have any ties to a lobbyist.,pants-fire,rick scott doesnt ties lobbyist
barely-true,At my first Lets Get to Work Day we sold out; more than 240 dozen doughnuts by 8:30 a.m.,barely-true,first lets get work day sold dozen doughnuts
false,Glen Sturtevant is against smaller class sizes.,false,glen sturtevant smaller class sizes
pants-fire,"Congressional lawmakers earn their salaries FOR LIFE, which for House Minority Leader Nancy Pelosi would add up to $803,700 Dollars a year for LIFE including FREE medical.",pants-fire,congressional lawmakers earn salaries life house minority leader nancy pelosi would add dollars year life including free medical
true,"President Obamas proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",true,president obamas proposal calls serious cuts longterm carbon emissions china india still allowed increase emissions
false,"I have never asked for a single earmark, pork barrel project for my state of Arizona.",false,never asked single earmark pork barrel project state arizona
pants-fire,"Starting in 2011, ""you will be required to pay taxes"" on ""the value of whatever health insurance you are given by the company.""",pants-fire,starting required pay taxes value whatever health insurance given company
pants-fire,Planned Parenthood is nothing more than a referral service. They dont do anything except profit from killing babies and then selling body parts of those aborted babies.,pants-fire,planned parenthood nothing referral service dont anything except profit killing babies selling body parts aborted babies
barely-true,Says Democratic recall opponent Tom Barrett is campaigning on lifting property tax limits.,barely-true,says democratic recall opponent tom barrett campaigning lifting property tax limits
true,Photo ID is not required for those who vote by mail.,true,photo id required vote mail
mostly-true,We have the lowest per-capita spending of any state in the nation except for South Dakota.,mostly-true,lowest percapita spending state nation except south dakota
half-true,"Barack Obama was ""a trial attorney for ACORN.""",half-true,barack obama trial attorney acorn
mostly-true,"When I ran against incumbent President Gerald Ford, you know how much money we raised? None.",mostly-true,ran incumbent president gerald ford know much money raised none
mostly-true,President Obama has the worst ratings of any president at the end of his first year.,mostly-true,president obama worst ratings president end first year
false,Milwaukee County has a parks capital budget thats bigger than its been in the last 10 years.,false,milwaukee county parks capital budget thats bigger last years
barely-true,"Says Charlie Crist wants felons who commit a heinous crime such as intentional permanent disfigurement of a child, you walk out of jail, you immediately get to vote.",barely-true,says charlie crist wants felons commit heinous crime intentional permanent disfigurement child walk jail immediately get vote
barely-true,700 jobs (were) lost because Allen Boyd voted for the health care bill.,barely-true,jobs lost allen boyd voted health care bill
barely-true,"Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence.",barely-true,crime bill year low crime year low murder rate listen background check law year low deaths people gun violence
barely-true,"In 2009, we cut state spending in real terms for the first time in 150 years.",barely-true,cut state spending real terms first time years
false,"In every poll, John Cornyn always loses to any conservative the voters have heard about.",false,every poll john cornyn always loses conservative voters heard
mostly-true,"For the last decade, funding in the health and human services budget has grown at twice the rate as other parts of the budget, and I think that context is important.",mostly-true,last decade funding health human services budget grown twice rate parts budget think context important
true,"In Wisconsin, deaths from domestic violence are at the highest in 10 years.",true,wisconsin deaths domestic violence highest years
false,"Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!",false,twitter google facebook burying fbi criminal investigation clinton dishonest media
half-true,Says there is a plan formulated by Chair (Lynn) Peterson and the cities in Clackamas County to further increase this fee in three years and split it up on projects between the county and cities.,half-true,says plan formulated chair lynn peterson cities clackamas county increase fee three years split projects county cities
half-true,"For the state of Florida, there is not an additional cost with implementation of the Common Core standards.",half-true,state florida additional cost implementation common core standards
half-true,Twenty-five or 24 million people are out of work or stopped looking for work.,half-true,twentyfive million people work stopped looking work
barely-true,"Education Week says Obama 'hasn't made a significant mark on education,' is 'elusive' on accountability, and a 'staunch defender of the existing public school monopoly.'",barely-true,education week says obama hasnt made significant mark education elusive accountability staunch defender existing public school monopoly
mostly-true,"Says Trump ties are made in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.",mostly-true,says trump ties made china colorado trump suits mexico michigan trump furniture turkey ohio trump picture frames india wisconsin
pants-fire,"Weve had about 3,000 murders in connection with lax border security.",pants-fire,weve murders connection lax border security
true,"Huckabee ""granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined.""",true,huckabee granted pardons commutations clemencies previous three governors combined
true,The proposed transportation bill could be the largest tax increase in Georgia history.,true,proposed transportation bill could largest tax increase georgia history
half-true,"The Internal Revenue Service spent $60,000 on a Star Trek training video.",half-true,internal revenue service spent star trek training video
mostly-true,"While in Congress, Nathan Deal was a leader when it came to protecting our borders.",mostly-true,congress nathan deal leader came protecting borders
barely-true,Florida's new fingerprint identification system is improving our rate of solving cold cases by 300 percent.,barely-true,floridas new fingerprint identification system improving rate solving cold cases percent
false,The 2009 stimulus bill failed to get people back to work.,false,stimulus bill failed get people back work
mostly-true,"Since 1995, the top 400 wealthiest families have seen their incomes go up 400 percent and their tax rates go down 40 percent.",mostly-true,since top wealthiest families seen incomes go percent tax rates go percent
barely-true,Muslims tried to use Sharia law to influence court decisions in New Jersey and Oklahoma,barely-true,muslims tried use sharia law influence court decisions new jersey oklahoma
true,"Actually, Reagan was a Democrat before he was a Republican.",true,actually reagan democrat republican
false,We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.,false,save billion simply giving money medicare recipients dont exist procedures didnt happen
false,The University of Wisconsin System will be much more affordable than just about any other campus in America because going forward we have a cap on it tied to inflation.,false,university wisconsin system much affordable campus america going forward cap tied inflation
barely-true,Gov. Rick Perry used $3.2 billion in stimulus dollars for schools to plug other holes in his budget.,barely-true,gov rick perry used billion stimulus dollars schools plug holes budget
true,On immigration reform,true,immigration reform
half-true,The actions Im taking are the kinds of actions taken by every single Republican president and every single Democratic president for the past half-century.,half-true,actions im taking kinds actions taken every single republican president every single democratic president past halfcentury
mostly-true,"It took us four years to balance the budget. Then I gave you four surplus budgets for the first time in more than 70 years, paid $600 billion down on the national debt.",mostly-true,took us four years balance budget gave four surplus budgets first time years paid billion national debt
mostly-true,"Says Jon Corzine gave away 14 percent raises over 4 years and he stood on the front steps of the Capitol at a public-sector union rally and said, I will fight to get you a great contract.",mostly-true,says jon corzine gave away percent raises years stood front steps capitol publicsector union rally said fight get great contract
mostly-true,Weve cut taxes 50 times and look what has happened to our revenues. Theyve grown.,mostly-true,weve cut taxes times look happened revenues theyve grown
true,Many dont know that Bill Young was once the minority leader in the Florida Senate...because he was the only Republican senator.,true,many dont know bill young minority leader florida senatebecause republican senator
pants-fire,Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.,pants-fire,says barack obama american president visited dday monument normandy dday
false,Says Oregon is one of only three states that allow the use of gillnets on inland waters.,false,says oregon one three states allow use gillnets inland waters
pants-fire,"Obamacare is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.",pants-fire,obamacare biggest jobkiller country millions americans lost jobs forced parttime work
barely-true,"Says Donald Trump made a lot of money from outsourcing jobs thanks to NAFTA but never, ever raised his voice against it when Congress was considering it.",barely-true,says donald trump made lot money outsourcing jobs thanks nafta never ever raised voice congress considering
true,I've spent 20 years devoted to working on behalf of families who are having a tough time and are seeking out the American dream.,true,ive spent years devoted working behalf families tough time seeking american dream
barely-true,Says he was a Marine during Vietnam.,barely-true,says marine vietnam
barely-true,AARP is endorsing the health care reform bill.,barely-true,aarp endorsing health care reform bill
pants-fire,Says Mitt Romneys investments created zero jobs.,pants-fire,says mitt romneys investments created zero jobs
true,"American Hustleshows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.",true,american hustleshows fbi making reallife bribes washington politicians know us senator turned
barely-true,"These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for.",barely-true,steps middleclass tax cut national health care plan foreclosure prevention fund social security fix paid
pants-fire,Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms.,pants-fire,barack obama hillary clinton negotiating united nations treaty ban use firearms
false,"The nearly six-year delay in approving Keystone is costing Americans more than 100,000 jobs.",false,nearly sixyear delay approving keystone costing americans jobs
false,Says iPads and iPhones are built in the United States of America.,false,says ipads iphones built united states america
false,"Dubious taxpayer-funded stimulus projects in Rhode Island include $250,000 to provide digital television to the states inmate population.",false,dubious taxpayerfunded stimulus projects rhode island include provide digital television states inmate population
barely-true,The Pentagon itself says that we could eliminate 20 percent of U.S. bases.,barely-true,pentagon says could eliminate percent us bases
true,I never called for a partition of Iraq.,true,never called partition iraq
false,"In the history department at the University of Texas, out of 50 registered voters, only one is a Republican.",false,history department university texas registered voters one republican
true,Said Republicans made historic gains in state legislatures during last months election,true,said republicans made historic gains state legislatures last months election
mostly-true,We got the highest vote count in the history of the Republican Party.,mostly-true,got highest vote count history republican party
half-true,"Metro Atlantans spend over an hour every day or five hours a week commuting, for a total of 260 hours a year.",half-true,metro atlantans spend hour every day five hours week commuting total hours year
half-true,"In Cover Florida ""thousands already enrolled and climbing.""",half-true,cover florida thousands already enrolled climbing
mostly-true,The Cathedral of Christ the King is one of the Archdiocese of Atlantas largest and fastest-growing parishes.,mostly-true,cathedral christ king one archdiocese atlantas largest fastestgrowing parishes
false,New Jerseys citizens are working at the highest rate in three years.,false,new jerseys citizens working highest rate three years
barely-true,The money supply has doubled in the last year.,barely-true,money supply doubled last year
false,"Says Oregons high minimum wage is the reason why by 2011, Oregons restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the states minimum wage began rising above the federal level in 1997.",false,says oregons high minimum wage reason oregons restaurants employed average workers fewer employees states minimum wage began rising federal level
true,The president of the United States ... agrees with me that marriage should be between a man and a woman.,true,president united states agrees marriage man woman
half-true,The debt ceiling deal will result in the lowest level of annual domestic spending since Dwight Eisenhower was president.,half-true,debt ceiling deal result lowest level annual domestic spending since dwight eisenhower president
false,The Climatic Research Unit e-mails show that the science behind climate change has been pretty well debunked.,false,climatic research unit emails show science behind climate change pretty well debunked
mostly-true,President Obamas suggested reduction in spending for next year: $0.,mostly-true,president obamas suggested reduction spending next year
barely-true,"Rick Perry ended full-day Pre-K for 100,000 Texas children.",barely-true,rick perry ended fullday prek texas children
true,Says PPS employees have paid their own PERS contributions for many years.,true,says pps employees paid pers contributions many years
mostly-true,Every president since Eisenhower has taken executive action to address immigration issues.,mostly-true,every president since eisenhower taken executive action address immigration issues
false,Says Alex Sinks plans for governor include $12.5 billion in new spending.,false,says alex sinks plans governor include billion new spending
pants-fire,"Any child born prematurely, according to the president, in his own words, can be killed.",pants-fire,child born prematurely according president words killed
true,Seventy percent of all uninsured live in households in which at least one person is working.,true,seventy percent uninsured live households least one person working
false,Recent data showed Nevada ranks 50th in the money received from the stimulus bill.,false,recent data showed nevada ranks th money received stimulus bill
mostly-true,"If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes.",mostly-true,want talk firsts bush first time american history president took us war cut taxes
pants-fire,Nearly half of all persons under 30 did not go to work today.,pants-fire,nearly half persons go work today
barely-true,Ted Cruz tried to ban contraception five times.,barely-true,ted cruz tried ban contraception five times
half-true,I dont own a single stock or bond I have no savings accounts.,half-true,dont single stock bond savings accounts
mostly-true,Forty percent of the undocumented workers in this country entered the U.S. legally and overstayed their visa.,mostly-true,forty percent undocumented workers country entered us legally overstayed visa
true,Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.,true,half rural hospitals operate red virginia operate loss
barely-true,Obama keeps talking about getting rid of all nuclear weapons. Hes already significantly reduced our capabilities there.,barely-true,obama keeps talking getting rid nuclear weapons hes already significantly reduced capabilities
mostly-true,"Milwaukee has seen an uptick in violence since 2010, and the only period of calm we get is when winter sets in.",mostly-true,milwaukee seen uptick violence since period calm get winter sets
false,The numbers of people that support Obamacare and like it have been steadily dropping.,false,numbers people support obamacare like steadily dropping
true,"The region I represent, both currently and in the future, has more automotive plants than the entire state of California.",true,region represent currently future automotive plants entire state california
pants-fire,"Obama's wife wrote a paper in college that said America was a nation founded on ""crime and hatred"" and that whites in America are ""ineradicably racist.""",pants-fire,obamas wife wrote paper college said america nation founded crime hatred whites america ineradicably racist
half-true,"Says in U.S. Congress, members dont even have to be on the floor for debates or votes.",half-true,says us congress members dont even floor debates votes
pants-fire,"Says Gov. Rick Scott lost Florida 331,247 jobs.",pants-fire,says gov rick scott lost florida jobs
barely-true,Says North Carolina Republican Senate candidate Thom Tillis supports a plan that would end Medicare as we know it.,barely-true,says north carolina republican senate candidate thom tillis supports plan would end medicare know
mostly-true,"In the 1950s and 1960s, the minimum wage was such that it would lift you out of poverty.",mostly-true,minimum wage would lift poverty
pants-fire,"Says Freddie Mac, electric co-ops and credit unions are all government sponsored enterprises.",pants-fire,says freddie mac electric coops credit unions government sponsored enterprises
true,Republican redistricting plans cut Democrat Nancy Nusbaum out of her state Senate district by a half a block.,true,republican redistricting plans cut democrat nancy nusbaum state senate district half block
false,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",false,obama interviewed american reporters asia one asked asia one asked economy
mostly-true,A strong majority of Americans support the Keystone XL pipeline.,mostly-true,strong majority americans support keystone xl pipeline
false,A majority of Wisconsinites opposed the government takeover of health care. But Russ Feingold voted for it anyway.,false,majority wisconsinites opposed government takeover health care russ feingold voted anyway
